gene_id	description
LOC107966057	uncharacterized LOC107966057
LOC107966058	uncharacterized LOC107966058
LOC107966059	acyl-CoA desaturase-like
LOC107966060	uncharacterized LOC107966060
LOC107966061	uncharacterized LOC107966061
LOC107966062	uncharacterized LOC107966062
LOC107966063	uncharacterized LOC107966063
LOC107966064	uncharacterized LOC107966064
LOC107966065	uncharacterized LOC107966065
LOC107966066	uncharacterized LOC107966066
LOC107966067	uncharacterized LOC107966067
LOC107966068	uncharacterized LOC107966068
LOC107966069	uncharacterized LOC107966069
LOC107966070	uncharacterized LOC107966070
LOC107966071	uncharacterized LOC107966071
LOC107966072	uncharacterized LOC107966072
LOC107966073	uncharacterized LOC107966073
LOC107966074	uncharacterized LOC107966074
LOC107966084	uncharacterized LOC107966084
LOC107966085	uncharacterized LOC107966085
LOC107966086	uncharacterized LOC107966086
LOC107966087	uncharacterized LOC107966087
LOC107966088	uncharacterized LOC107966088
LOC107966089	uncharacterized LOC107966089
LOC107966090	uncharacterized LOC107966090
LOC107966091	uncharacterized LOC107966091
LOC107966092	uncharacterized LOC107966092
LOC107966093	uncharacterized LOC107966093
LOC107966094	uncharacterized LOC107966094
LOC107966095	uncharacterized LOC107966095
LOC107966096	uncharacterized LOC107966096
LOC107966097	uncharacterized LOC107966097
LOC107966098	uncharacterized LOC107966098
LOC107966099	uncharacterized LOC107966099
LOC107966100	uncharacterized LOC107966100
LOC107966101	uncharacterized LOC107966101
LOC107966102	uncharacterized LOC107966102
LOC107966103	uncharacterized LOC107966103
LOC107966104	uncharacterized LOC107966104
LOC107966105	uncharacterized LOC107966105
LOC107966106	uncharacterized LOC107966106
LOC107966107	uncharacterized LOC107966107
LOC107966108	uncharacterized LOC107966108
LOC107966109	uncharacterized LOC107966109
LOC107966110	uncharacterized LOC107966110
LOC107966111	uncharacterized LOC107966111
LOC107966112	uncharacterized LOC107966112
LOC107966113	uncharacterized LOC107966113
LOC107966114	uncharacterized LOC107966114
LOC107966115	uncharacterized LOC107966115
LOC107966116	uncharacterized LOC107966116
LOC107966117	uncharacterized LOC107966117
LOC406073	homeobox protein prospero
LOC406081	glucose oxidase
LOC406093	apisimin
LOC406096	"type I inositol 1,4,5-trisphosphate 5-phosphatase"
LOC406097	integrin beta-PS
LOC406105	esterase A2
LOC406114	alpha-amylase
LOC406115	apidaecin
LOC406118	DDB1- and CUL4-associated factor 11
LOC406124	gamma-aminobutyric acid receptor subunit beta
LOC406132	histone H4
LOC406139	ankyrin-3
LOC406142	hymenoptaecin
LOC406144	abaecin
LOC406145	secapin
LOC406146	hyaluronoglucosaminidase
LOC406147	short-chain dehydrogenase/reductase
LOC406152	juvenile hormone epoxide hydrolase 1
LOC408264	netrin receptor UNC5C
LOC408267	syntaxin-binding protein 5
LOC408269	general transcription factor IIH subunit 5
LOC408271	rap1 GTPase-activating protein 1
LOC408272	monocarboxylate transporter 7
LOC408275	uncharacterized LOC408275
LOC408276	ATP-dependent RNA helicase bel
LOC408277	uncharacterized LOC408277
LOC408278	tyrosine-protein kinase Drl
LOC408280	cell surface glycoprotein 1-like
LOC408282	uncharacterized LOC408282
LOC408283	E3 ubiquitin-protein ligase RNF13-like
LOC408284	mitochondrial import receptor subunit TOM40 homolog 1-like
LOC408285	rho GTPase-activating protein 18
LOC408286	"2-oxoglutarate dehydrogenase, mitochondrial"
LOC408288	"isovaleryl-CoA dehydrogenase, mitochondrial"
LOC408291	"3-ketoacyl-CoA thiolase, mitochondrial"
LOC408292	transcriptional coactivator YAP1
LOC408293	exostosin-1
LOC408294	protein FAM76A
LOC408295	probable serine/threonine-protein kinase DDB_G0282963
LOC408297	uncharacterized LOC408297
LOC408298	maternal protein pumilio
LOC408299	purine nucleoside phosphorylase
LOC408301	"type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase"
LOC408302	solute carrier family 22 member 21-like
LOC408303	protein lifeguard 1
LOC408304	nuclear migration protein nudC
LOC408305	uridine-cytidine kinase-like 1
LOC408306	sodium/hydrogen exchanger 3
LOC408308	"coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial"
LOC408309	serine-arginine protein 55
LOC408310	caveolin-3-like
LOC408311	catenin delta-2
LOC408312	tyrosine-protein kinase transmembrane receptor Ror2
LOC408314	uncharacterized LOC408314
LOC408315	ceramide kinase
LOC408316	uncharacterized LOC408316
LOC408317	uncharacterized LOC408317
LOC408319	lethal(3)malignant brain tumor-like protein 3
LOC408320	uncharacterized LOC408320
LOC408321	RCC1 and BTB domain-containing protein 1-like
LOC408322	uncharacterized LOC408322
LOC408323	dynactin subunit 5
LOC408324	T-cell immunomodulatory protein
LOC408327	uncharacterized LOC408327
LOC408328	"elongation factor Tu, mitochondrial-like"
LOC408329	uncharacterized LOC408329
LOC408331	histone deacetylase 5
LOC408332	zinc finger protein 236-like
LOC408333	uncharacterized LOC408333
LOC408335	nuclear pore complex protein Nup98-Nup96
LOC408336	exonuclease mut-7 homolog
LOC408337	uncharacterized LOC408337
LOC408339	uncharacterized LOC408339
LOC408342	disco-interacting protein 2
LOC408343	potassium voltage-gated channel protein Shaker
LOC408344	"tRNA dimethylallyltransferase, mitochondrial-like"
LOC408345	zinc finger protein 598
LOC408346	UPF0396 protein CG6066
LOC408347	putative uncharacterized protein DDB_G0277255
LOC408348	uncharacterized LOC408348
LOC408349	mitochondrial inner membrane protein OXA1L
LOC408351	serine-rich adhesin for platelets
LOC408352	"elongation factor Ts, mitochondrial"
LOC408353	proteasome subunit beta type-7
LOC408354	nuclear factor of activated T-cells 5
LOC408355	beta-lactamase-like protein 2
LOC408358	RB1-inducible coiled-coil protein 1
LOC408359	MAGUK p55 subfamily member 6
LOC408361	alpha-tocopherol transfer protein-like
LOC408362	alpha-tocopherol transfer protein
LOC408364	uncharacterized LOC408364
LOC408365	uncharacterized LOC408365
LOC408367	"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
LOC408368	adenosylhomocysteinase
LOC408369	putative glutathione-specific gamma-glutamylcyclotransferase 2
LOC408370	TM2 domain-containing protein CG11103
LOC408371	probable ATP-dependent RNA helicase DDX56
LOC408372	poly(rC)-binding protein 3
LOC408373	phosphatidylinositol 4-kinase beta
LOC408374	mucin-19
LOC408381	sodium- and chloride-dependent GABA transporter 1
LOC408382	clusterin-associated protein 1-like
LOC408384	transcriptional adapter 2-alpha
LOC408386	eukaryotic translation initiation factor 3 subunit G
LOC408387	HIV Tat-specific factor 1 homolog
LOC408388	tubulin alpha-1 chain
LOC408389	protein trachealess
LOC408390	ankyrin repeat domain-containing protein 6
LOC408391	AP-1 complex subunit mu-1
LOC408392	glycine--tRNA ligase
LOC408393	agrin-like
LOC408394	collagen alpha-1(I) chain-like
LOC408395	venom carboxylesterase-6
LOC408397	26S proteasome non-ATPase regulatory subunit 11
LOC408398	cytochrome P450 306a1
LOC408400	CKLF-like MARVEL transmembrane domain-containing protein 8
LOC408401	protein brunelleschi
LOC408402	acetyl-coenzyme A transporter 1
LOC408405	uncharacterized LOC408405
LOC408406	cyclin-dependent kinase 4
LOC408407	translation machinery-associated protein 7 homolog
LOC408408	uncharacterized LOC408408
LOC408409	UPF0430 protein CG31712
LOC408411	transcription factor Sox-2
LOC408412	protein l(2)37Cc
LOC408413	26S proteasome non-ATPase regulatory subunit 7
LOC408414	tropomyosin-1
LOC408415	biogenesis of lysosome-related organelles complex 1 subunit 1
LOC408416	suppressor protein SRP40
LOC408417	CTD nuclear envelope phosphatase 1 homolog
LOC408418	AP-2 complex subunit mu
LOC408420	RING finger protein nhl-1
LOC408421	uncharacterized LOC408421
LOC408424	COP9 signalosome complex subunit 8
LOC408426	lysosomal thioesterase PPT2 homolog
LOC408427	piezo-type mechanosensitive ion channel component
LOC408428	peptidyl-prolyl cis-trans isomerase A2-like
LOC408429	tensin-1
LOC408430	voltage-dependent L-type calcium channel subunit beta-2
LOC408431	LIM domain-containing protein jub
LOC408432	glutamate decarboxylase
LOC408433	UBX domain-containing protein 4
LOC408434	EGF domain-specific O-linked N-acetylglucosamine transferase
LOC408435	"POU domain, class 6, transcription factor 2"
LOC408438	insulin receptor substrate 1-B
LOC408439	MATH and LRR domain-containing protein PFE0570w
LOC408441	adenosine kinase 1
LOC408442	bone morphogenetic protein receptor type-1B
LOC408443	uncharacterized LOC408443
LOC408444	unconventional myosin-XV
LOC408446	"probable aconitate hydratase, mitochondrial"
LOC408447	neurotactin
LOC408448	protein asunder homolog
LOC408449	thyrotroph embryonic factor
LOC408451	NADPH oxidase 5
LOC408452	cytochrome P450 9e2
LOC408453	cytochrome P450 9e2
LOC408455	zinc finger protein rotund
LOC408456	facilitated trehalose transporter Tret1-2 homolog
LOC408457	protein LSM12 homolog
LOC408458	mediator of RNA polymerase II transcription subunit 24
LOC408461	uridine 5'-monophosphate synthase
LOC408462	uncharacterized LOC408462
LOC408463	uncharacterized LOC408463
LOC408464	protein HGV2
LOC408465	vesicle-associated membrane protein 2
LOC408467	chloride channel protein 2
LOC408470	NAD kinase-like
LOC408471	brefeldin A-inhibited guanine nucleotide-exchange protein 3
LOC408473	uncharacterized LOC408473
LOC408474	apyrase
LOC408477	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial"
LOC408478	facilitated trehalose transporter Tret1-like
LOC408480	PTB domain-containing engulfment adapter protein 1
LOC408481	chloride intracellular channel exc-4
LOC408493	uncharacterized LOC408493
LOC408494	uncharacterized LOC408494
LOC408497	heterogeneous nuclear ribonucleoprotein U-like protein 1
LOC408500	endothelin-converting enzyme 1
LOC408501	serine/threonine-protein kinase/endoribonuclease IRE1
LOC408503	uncharacterized Golgi apparatus membrane protein-like protein CG5021
LOC408504	protein FAM160B1-like
LOC408507	WD repeat-containing protein 44
LOC408508	uncharacterized LOC408508
LOC408509	glutamate decarboxylase 1
LOC408510	uncharacterized LOC408510
LOC408511	protein preli-like
LOC408512	origin recognition complex subunit 1
LOC408515	60S ribosomal protein L26
LOC408516	protein D2-like
LOC408517	synaptic vesicular amine transporter
LOC408519	serine/threonine-protein kinase 10
LOC408520	upstream activation factor subunit spp27
LOC408522	ADP-ribosylation factor-like protein 3
LOC408523	protein TRC8 homolog
LOC408524	ATP-dependent RNA helicase abstrakt
LOC408525	neuronal acetylcholine receptor subunit alpha-10
LOC408526	60S ribosomal protein L4
LOC408527	pre-mRNA-splicing factor SPF27
LOC408528	colorectal mutant cancer protein
LOC408531	PRADC1-like protein
LOC408532	myophilin
LOC408533	mitogen-activated protein kinase kinase kinase 15
LOC408534	trypsin
LOC408536	angiotensin-converting enzyme
LOC408538	uncharacterized LOC408538
LOC408539	sideroflexin-3
LOC408541	negative elongation factor A
LOC408542	uncharacterized LOC408542
LOC408543	RING finger protein 44
LOC408544	lysyl oxidase homolog 4
LOC408546	phosphatidylinositide phosphatase SAC2
LOC408547	toxin 3FTx-Lei1
LOC408548	MICOS complex subunit Mic60
LOC408551	collagen alpha-5(IV) chain
LOC408552	collagen alpha-1(IV) chain
LOC408554	neural-cadherin
LOC408556	eukaryotic translation initiation factor 5B
LOC408557	thioredoxin domain-containing protein 5
LOC408558	tektin-4
LOC408559	retinal dehydrogenase 1
LOC408561	soluble scavenger receptor cysteine-rich domain-containing protein SSC5D
LOC408562	uncharacterized LOC408562
LOC408563	centrosomin
LOC408564	long-chain fatty acid transport protein 4-like
LOC408565	zinc finger protein on ecdysone puffs
LOC408567	"probable medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
LOC408568	peptidyl-alpha-hydroxyglycine alpha-amidating lyase 1-like
LOC408569	mitochondrial import inner membrane translocase subunit TIM50-C-like
LOC408570	uncharacterized LOC408570
LOC408572	myophilin
LOC408573	eukaryotic translation initiation factor 6
LOC408574	uncharacterized LOC408574
LOC408575	DNA methyltransferase 1-associated protein 1
LOC408576	potassium voltage-gated channel protein Shal
LOC408577	uncharacterized LOC408577
LOC408578	armadillo repeat-containing protein 6 homolog
LOC408579	thrombospondin type-1 domain-containing protein 4-like
LOC408580	eukaryotic translation initiation factor 2D
LOC408583	tropomyosin
LOC408585	dynactin subunit 6
LOC408586	probable nuclear hormone receptor HR3
LOC408587	histidine decarboxylase
LOC408589	macro domain-containing protein CT2219-like
LOC408590	RING finger and CHY zinc finger domain-containing protein 1
LOC408591	PX domain-containing protein kinase-like protein
LOC408592	acyl-coenzyme A:6-aminopenicillanic-acid-acyltransferase 40 kDa form
LOC408594	triple functional domain protein
LOC408595	locomotion-related protein Hikaru genki
LOC408596	clavesin-2
LOC408597	U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2
LOC408598	MAGUK p55 subfamily member 7
LOC408600	nucleobindin-2
LOC408601	aprataxin
LOC408602	MKL/myocardin-like protein 2
LOC408603	"glucose dehydrogenase [FAD, quinone]"
LOC408604	TBC1 domain family member 13
LOC408607	SEC23-interacting protein-like
LOC408608	uncharacterized LOC408608
LOC408609	coiled-coil domain-containing protein 93
LOC408614	uncharacterized LOC408614
LOC408615	nuclear transcription factor Y subunit gamma
LOC408616	transcriptional enhancer factor TEF-1
LOC408618	furin-like protease 2
LOC408619	ubiquitin carboxyl-terminal hydrolase 3-like
LOC408620	RNA-binding protein 42
LOC408621	ER membrane protein complex subunit 7
LOC408622	protein henna
LOC408623	endophilin-A
LOC408624	UHRF1-binding protein 1
LOC408625	leucine-rich repeat serine/threonine-protein kinase 1
LOC408626	poly(A)-specific ribonuclease PARN-like
LOC408631	patronin
LOC408632	spliceosome-associated protein CWC15 homolog
LOC408633	chromatin complexes subunit BAP18
LOC408634	major facilitator superfamily domain-containing protein 1-like
LOC408635	BTB/POZ domain-containing protein 1-like
LOC408641	uncharacterized LOC408641
LOC408642	"NAD kinase 2, mitochondrial-like"
LOC408643	uncharacterized LOC408643
LOC408645	"glutamate receptor, ionotropic, kainate 2"
LOC408646	monocarboxylate transporter 12-like
LOC408648	RING finger protein 11
LOC408649	uncharacterized LOC408649
LOC408650	inositol oxygenase
LOC408652	protein suppressor of white apricot
LOC408653	calcium-dependent secretion activator
LOC408655	acidic fibroblast growth factor intracellular-binding protein
LOC408656	RNA exonuclease 1 homolog
LOC408657	zinc finger protein 76-like
LOC408660	uncharacterized LOC408660
LOC408661	uncharacterized LOC408661
LOC408662	WD repeat-containing protein 19
LOC408663	soma ferritin
LOC408664	homeodomain-interacting protein kinase 2
LOC408666	uncharacterized LOC408666
LOC408668	probable tyrosyl-DNA phosphodiesterase
LOC408669	uncharacterized protein KIAA0930 homolog
LOC408670	Down syndrome cell adhesion molecule-like protein Dscam2
LOC408672	programmed cell death protein 6
LOC408673	maspardin-like
LOC408674	major facilitator superfamily domain-containing protein 12-like
LOC408675	"probable 39S ribosomal protein L24, mitochondrial"
LOC408676	CREB-regulated transcription coactivator 1-like
LOC408677	titin
LOC408678	OTU domain-containing protein 7B-like
LOC408680	ryanodine receptor
LOC408681	solute carrier family 35 member F1-like
LOC408685	MAP7 domain-containing protein 1
LOC408686	sequestosome-1
LOC408687	putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase
LOC408688	Down syndrome cell adhesion molecule-like protein Dscam2
LOC408690	calmodulin-like
LOC408691	RING-box protein 1A
LOC408693	epidermal growth factor receptor kinase substrate 8-like
LOC408694	plastin-2
LOC408695	uncharacterized LOC408695
LOC408696	uncharacterized LOC408696
LOC408697	KN motif and ankyrin repeat domain-containing protein 3-like
LOC408699	"high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A"
LOC408701	protein phosphatase 1H
LOC408702	SAGA-associated factor 29
LOC408703	uncharacterized LOC408703
LOC408705	RNA-binding protein 25-like
LOC408706	heat shock protein 70Cb ortholog
LOC408708	ubiquitin-conjugating enzyme E2 S
LOC408710	"KH domain-containing, RNA-binding, signal transduction-associated protein 2-like"
LOC408711	zinc finger matrin-type protein 5-like
LOC408712	BUD13 homolog
LOC408713	UPF0235 protein C15orf40 homolog
LOC408714	uncharacterized protein DDB_G0286591-like
LOC408715	lachesin
LOC408716	histone-lysine N-methyltransferase trithorax
LOC408717	sialomucin core protein 24
LOC408718	leukocyte tyrosine kinase receptor
LOC408721	neurocalcin homolog
LOC408722	sodium/potassium-transporting ATPase subunit beta-2-like
LOC408723	cerebellar degeneration-related protein 2-like
LOC408724	uncharacterized LOC408724
LOC408725	protein sickie-like
LOC408727	SET and MYND domain-containing protein 4-like
LOC408728	mediator of RNA polymerase II transcription subunit 18
LOC408729	uncharacterized LOC408729
LOC408730	inositol polyphosphate 5-phosphatase K-like
LOC408732	uncharacterized LOC408732
LOC408733	uncharacterized LOC408733
LOC408734	"succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like"
LOC408740	phosphatase and actin regulator 4
LOC408741	ras-related protein Rab-37
LOC408742	fatty-acid amide hydrolase 2-B
LOC408748	"transmembrane protein 11, mitochondrial"
LOC408749	ubiquitin-protein ligase E3B
LOC408750	pre-mRNA-processing factor 19
LOC408751	E3 ubiquitin-protein ligase RNF185-like
LOC408752	DNA ligase 1
LOC408754	TNF receptor-associated factor 4
LOC408755	probable DNA replication complex GINS protein PSF2
LOC408759	protein FAM102B
LOC408761	uncharacterized LOC408761
LOC408762	uncharacterized protein MAL13P1.304
LOC408763	homeobox protein extradenticle
LOC408766	phosphatidylcholine:ceramide cholinephosphotransferase 2-like
LOC408767	protein dachsous
LOC408769	excitatory amino acid transporter
LOC408770	protein turtle
LOC408773	ankyrin repeat domain-containing protein 49-like
LOC408774	lysosomal-trafficking regulator
LOC408775	heterogeneous nuclear ribonucleoprotein R
LOC408777	no mechanoreceptor potential C
LOC408779	short stop
LOC408780	signal-induced proliferation-associated 1-like protein 2
LOC408782	tubulin beta-1
LOC408783	vacuolar protein sorting-associated protein 28 homolog
LOC408784	post-GPI attachment to proteins factor 2-like
LOC408785	protein-L-isoaspartate(D-aspartate) O-methyltransferase-like
LOC408787	transmembrane and TPR repeat-containing protein CG4341
LOC408788	UDP-glucuronosyltransferase 1-3-like
LOC408789	uncharacterized LOC408789
LOC408790	protein croquemort
LOC408791	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II"
LOC408792	protein 4.1 homolog
LOC408793	histone acetyltransferase KAT7
LOC408794	ATP-dependent RNA helicase Ddx1
LOC408796	vacuolar protein sorting-associated protein 35
LOC408797	nidogen-2
LOC408799	40S ribosomal protein S24
LOC408801	protein split ends
LOC408803	tensin-1
LOC408804	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1"
LOC408805	progestin and adipoQ receptor family member 3
LOC408807	uncharacterized LOC408807
LOC408808	prosaposin
LOC408809	diacylglycerol kinase theta
LOC408810	rap guanine nucleotide exchange factor 2-like
LOC408811	transmembrane and coiled-coil domains protein 2
LOC408814	gamma-secretase subunit Aph-1
LOC408815	probable DNA mismatch repair protein Msh6
LOC408817	alanine--glyoxylate aminotransferase 2-like
LOC408818	hexokinase-1-like
LOC408819	transmembrane protein 147
LOC408820	DDB1- and CUL4-associated factor 8-like
LOC408821	uncharacterized LOC408821
LOC408822	uncharacterized LOC408822
LOC408824	immunoglobulin-like and fibronectin type III domain containing 14
LOC408826	dystroglycan
LOC408827	carbonic anhydrase 1
LOC408828	uncharacterized MFS-type transporter C09D4.1
LOC408830	muscle M-line assembly protein unc-89
LOC408831	"ribosome-releasing factor 2, mitochondrial"
LOC408833	uridine diphosphate glucose pyrophosphatase-like
LOC408834	beclin-1-like protein
LOC408835	neuroendocrine convertase 2
LOC408836	unc-112-related protein
LOC408837	"cytochrome c oxidase subunit 5A, mitochondrial"
LOC408839	uncharacterized LOC408839
LOC408840	5'-3' exoribonuclease 2 homolog
LOC408841	voltage-dependent calcium channel subunit alpha-2/delta-3
LOC408842	transportin-1
LOC408843	F-box/WD repeat-containing protein 9
LOC408844	dual specificity protein phosphatase 10
LOC408845	protein unc-79 homolog
LOC408846	tyrosine-protein phosphatase non-receptor type 14
LOC408847	uroporphyrinogen-III synthase
LOC408848	protein enabled
LOC408850	pre-mRNA-processing factor 39-like
LOC408851	putative cysteine proteinase CG12163
LOC408852	protein similar-like
LOC408853	uncharacterized LOC408853
LOC408857	nephrin-like
LOC408859	pyrroline-5-carboxylate reductase 2
LOC408860	haloacid dehalogenase-like hydrolase domain-containing protein 2
LOC408862	prolyl 4-hydroxylase subunit alpha-1
LOC408863	J domain-containing protein
LOC408864	waprin-Phi1-like
LOC408865	uncharacterized LOC408865
LOC408866	uncharacterized aarF domain-containing protein kinase 1
LOC408867	"alpha,alpha-trehalose-phosphate synthase [UDP-forming]"
LOC408868	inositol monophosphatase 2-like
LOC408869	lissencephaly-1 homolog
LOC408871	sorbitol dehydrogenase-like
LOC408872	"steroid receptor seven-up, isoforms B/C"
LOC408874	uncharacterized LOC408874
LOC408875	heat shock protein beta-1
LOC408876	MOB kinase activator-like 2
LOC408877	neurogenic protein mastermind
LOC408878	protein mesh
LOC408882	septin-2
LOC408883	deoxycytidylate deaminase
LOC408884	transcription factor SOX-5
LOC408886	transmembrane 7 superfamily member 3-like
LOC408887	ankyrin repeat and SAM domain-containing protein 1A-like
LOC408888	leucine-rich repeats and immunoglobulin-like domains protein 1
LOC408889	large proline-rich protein BAG6
LOC408890	protein groucho-1
LOC408891	methyl-CpG-binding domain protein 2
LOC408892	3-ketodihydrosphingosine reductase
LOC408894	transducin-like enhancer protein 4
LOC408896	semaphorin-2A
LOC408897	uncharacterized LOC408897
LOC408898	uncharacterized LOC408898
LOC408900	tyrosine-protein phosphatase non-receptor type 61F-like
LOC408901	actin-related protein 2/3 complex subunit 1A
LOC408902	F-box/LRR-repeat protein 16
LOC408903	uncharacterized LOC408903
LOC408904	non-specific lipid-transfer protein
LOC408905	uncharacterized LOC408905
LOC408906	multiple C2 and transmembrane domain-containing protein 1
LOC408908	anoctamin-8
LOC408909	NADH-quinone oxidoreductase subunit B 2
LOC408910	protein SCAI
LOC408911	ubiquitin carboxyl-terminal hydrolase 47
LOC408914	BAI1-associated protein 3
LOC408915	protein couch potato-like
LOC408916	JNK-interacting protein 1
LOC408917	extracellular signal-regulated kinase 2
LOC408918	death-associated protein 1
LOC408920	long-chain fatty acid transport protein 1
LOC408922	discoidin domain-containing receptor 2-like
LOC408923	transcription initiation factor TFIID subunit 4-like
LOC408924	peptidoglycan-recognition protein LC
LOC408925	protein arginine N-methyltransferase 7
LOC408926	alpha-2-macroglobulin-like protein 1
LOC408934	choline O-acetyltransferase
LOC408935	high-affinity choline transporter 1
LOC408936	RNA-binding protein squid
LOC408937	SPARC
LOC408939	charged multivesicular body protein 5
LOC408942	uncharacterized protein T19C3.4
LOC408944	lysine-specific demethylase 3B
LOC408945	sorting nexin-27
LOC408949	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform-like
LOC408950	"malate dehydrogenase, mitochondrial"
LOC408951	14-3-3 protein epsilon
LOC408952	oxysterol-binding protein 1
LOC408953	peroxidase
LOC408955	"4-aminobutyrate aminotransferase, mitochondrial"
LOC408957	uncharacterized LOC408957
LOC408958	nucleolar protein 4-like
LOC408959	protein unc-13 homolog D
LOC408960	protein slit
LOC408961	apolipophorins
LOC408963	pleckstrin homology domain-containing family G member 5-like
LOC408964	uncharacterized LOC408964
LOC408965	glutamate receptor-interacting protein 1
LOC408966	dnaJ homolog subfamily B member 6-like
LOC408967	calcium-binding mitochondrial carrier protein Aralar1
LOC408968	cytochrome c-type heme lyase
LOC408969	aminoacylase-1-like
LOC408970	flocculation protein FLO11-like
LOC408971	ras-related protein Rab-3
LOC408972	muscle-specific protein 20
LOC408973	neprilysin-2
LOC408976	protein kinase shaggy
LOC408979	eukaryotic translation initiation factor 5
LOC408980	DNA oxidative demethylase ALKBH1
LOC408981	activating transcription factor 3
LOC408982	calcineurin B homologous protein 1
LOC408983	protein transport protein Sec23A
LOC408985	pteropsin
LOC408986	proteasome subunit alpha type-3
LOC408987	sortilin-related receptor
LOC408988	uncharacterized LOC408988
LOC408989	putative glycerol kinase 5
LOC408990	neuralized-like protein 2
LOC408991	"glutaminase kidney isoform, mitochondrial"
LOC408992	Niemann-Pick C1 protein-like
LOC408996	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase"
LOC409000	cell adhesion molecule 2-like
LOC409001	disheveled-associated activator of morphogenesis 1
LOC409002	cuticular protein
LOC409004	ras-related protein Rab6
LOC409005	protein FAM8A1
LOC409006	arrestin red cell
LOC409007	heterogeneous nuclear ribonucleoprotein K
LOC409009	uncharacterized LOC409009
LOC409010	uncharacterized LOC409010
LOC409011	ATP-dependent Clp protease proteolytic subunit-like
LOC409015	probable elongation factor 1-delta
LOC409016	uncharacterized LOC409016
LOC409017	pantothenate kinase 4
LOC409019	plasmolipin-like
LOC409020	uncharacterized LOC409020
LOC409022	fruitless
LOC409023	methylthioribose-1-phosphate isomerase
LOC409024	tropomodulin
LOC409025	apolipoprotein D
LOC409026	transmembrane emp24 domain-containing protein bai
LOC409027	leucine-rich repeat and calponin homology domain-containing protein 1
LOC409028	probable ATP-dependent RNA helicase YTHDC2
LOC409032	peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase
LOC409034	uncharacterized LOC409034
LOC409036	GTP-binding protein Rheb homolog
LOC409038	uncharacterized LOC409038
LOC409039	uncharacterized LOC409039
LOC409041	transmembrane protein 115
LOC409043	high-affinity choline transporter 1-like
LOC409045	transcription elongation regulator 1
LOC409046	ankyrin repeat and zinc finger domain-containing protein 1-like
LOC409047	growth hormone-regulated TBC protein 1
LOC409049	paired amphipathic helix protein Sin3a
LOC409050	segment polarity protein dishevelled homolog DVL-3
LOC409051	microtubule-associated protein futsch
LOC409053	protein PF14_0175-like
LOC409055	V-type proton ATPase subunit H
LOC409056	sodium-dependent phosphate transporter 2
LOC409057	uncharacterized LOC409057
LOC409058	L-threonine ammonia-lyase-like
LOC409059	rabenosyn-5
LOC409060	golgin subfamily A member 6-like protein 22
LOC409061	tyrosine kinase receptor Cad96Ca
LOC409062	COP9 signalosome complex subunit 2
LOC409063	cysteine sulfinic acid decarboxylase-like
LOC409064	sugar transporter SWEET1
LOC409065	TAR DNA-binding protein 43
LOC409066	pyridoxine-5'-phosphate oxidase-like
LOC409068	annexin B11-like
LOC409070	protein pellino
LOC409073	equilibrative nucleoside transporter 4
LOC409074	V-type proton ATPase 21 kDa proteolipid subunit-like
LOC409075	mesoderm induction early response protein 1
LOC409077	aminopeptidase N
LOC409078	uncharacterized LOC409078
LOC409079	eukaryotic translation initiation factor 4E type 3-A-like
LOC409082	coronin-7
LOC409083	uncharacterized LOC409083
LOC409084	arginine-glutamic acid dipeptide repeats protein
LOC409085	guanine nucleotide exchange factor for Rab-3A-like
LOC409086	caprin homolog
LOC409087	"D-beta-hydroxybutyrate dehydrogenase, mitochondrial"
LOC409088	uncharacterized LOC409088
LOC409089	vesicular inhibitory amino acid transporter
LOC409090	uncharacterized LOC409090
LOC409091	neurotrimin
LOC409092	enhancer of mRNA-decapping protein 3
LOC409093	flocculation protein FLO11
LOC409095	protein apterous
LOC409096	uncharacterized LOC409096
LOC409098	histone-lysine N-methyltransferase eggless
LOC409099	E3 ubiquitin-protein ligase UBR5
LOC409100	ubiquitin-conjugating enzyme E2 W
LOC409102	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like
LOC409103	"protoheme IX farnesyltransferase, mitochondrial"
LOC409105	uncharacterized LOC409105
LOC409106	protein zyg-11 homolog B-like
LOC409107	homeobox protein 5
LOC409108	uncharacterized LOC409108
LOC409109	mycosubtilin synthase subunit C
LOC409110	programmed cell death protein 2-like
LOC409111	serine/threonine-protein kinase minibrain
LOC409113	guanine nucleotide-binding protein subunit beta-5
LOC409114	"ATP synthase subunit alpha, mitochondrial"
LOC409115	probable dolichol-phosphate mannosyltransferase
